depth,wavelength,luz
1.6800000000000002,443,0.0010564800017908308
1.6800000000000002,510,0.0011373047992423967
1.6800000000000002,683,1.1097390219056175e-5
1.7000000000000002,443,0.0010538276632870225
1.7000000000000002,510,0.0011353256556838277
1.7000000000000002,683,1.1057518760660315e-5
1.72,443,0.0010511922412206375
1.72,510,0.0011333558723094076
1.72,683,1.1018042488310352e-5
1.74,443,0.001048573612794588
1.74,510,0.0011313953995291438
1.74,683,1.0978954386403432e-5
1.76,443,0.001045971655525608
1.76,510,0.001129444187828037
1.76,683,1.0940247467320545e-5
1.78,443,0.0010433862472210367
1.78,510,0.001127502187760741
1.78,683,1.0901914770955112e-5
1.8,443,0.0010408172659551974
1.8,510,0.0011255693499460549
1.8,683,1.0863949364314338e-5
1.82,443,0.0010382645900442098
1.82,510,0.001123645625056025
1.82,683,1.0826344339559778e-5
1.8399999999999999,443,0.001035728097508804
1.8399999999999999,510,0.001121730962998229
1.8399999999999999,683,1.0789092261937476e-5
1.8599999999999999,443,0.0010332076654451631
1.8599999999999999,510,0.001119825311531658
1.8599999999999999,683,1.0752184732651605e-5
1.88,443,0.0010307031676581304
1.88,510,0.0011179286168028365
1.88,683,1.0715613556275771e-5
1.9,443,0.001028214472824687
1.9,510,0.0011160408239811134
1.9,683,1.0679368488591854e-5
1.92,443,0.001025741449084765
1.92,510,0.001114161877914599
1.92,683,1.0643439619226154e-5
1.94,443,0.0010232839655847494
1.94,510,0.0011122917234155341
1.94,683,1.0607819140437748e-5
1.96,443,0.001020841892523541
1.96,510,0.0011104303051958767
1.96,683,1.0572500774254593e-5
1.98,443,0.001018415100578935
1.98,510,0.0011085775687770757
1.98,683,1.053747854844264e-5
2,443,0.0010160034622281517
2,510,0.0011067334603744041
2,683,1.0502745592412377e-5
2.05,443,0.0010100398260062368
2.05,510,0.0011021605856094772
2.05,683,1.0417127675567818e-5
2.1,443,0.0010041681123190364
2.1,510,0.0010976404705392575
2.1,683,1.0333164979073503e-5
2.15,443,9.983863581673185e-4
2.15,510,0.0010931723173668514
2.15,683,1.0250811054578809e-5
2.2,443,9.926926687802119e-4
2.2,510,0.001088755384851795
2.2,683,1.0170037088604244e-5
2.25,443,9.870852289482347e-4
2.25,510,0.0010843889850752158
2.25,683,1.0090845819844065e-5
